Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-09-13 16:55:25,"Pull",1h 36m,"Seated Palms Up Wrist Curl (Dumbbell)",1,3.0,10.0,0,0.0,"wrist faced down",,
2023-09-13 16:55:25,"Pull",1h 36m,"Seated Palms Up Wrist Curl (Dumbbell)",2,5.0,10.0,0,0.0,,,
2023-09-13 16:55:25,"Pull",1h 36m,"Seated Palms Up Wrist Curl (Dumbbell)",3,5.0,13.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Bench Press (Barbell)",1,12.5,10.0,0,0.0,"","",
2023-09-16 16:44:04,"Push",1h 27m,"Bench Press (Barbell)",2,17.5,10.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Bench Press (Barbell)",3,20.0,6.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Shoulder Press (Machine)",1,7.5,10.0,0,0.0,"",,
2023-09-16 16:44:04,"Push",1h 27m,"Shoulder Press (Machine)",2,12.5,10.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Shoulder Press (Machine)",3,12.5,10.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Incline Bench Press (Dumbbell)",1,7.5,10.0,0,0.0,"",,
2023-09-16 16:44:04,"Push",1h 27m,"Incline Bench Press (Dumbbell)",2,12.5,10.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Incline Bench Press (Dumbbell)",3,12.5,12.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Cable Crossover",1,5.0,10.0,0,0.0,"make sure the arms are extended at the back and chest is stretched\nheight 15\nchange height?",,
2023-09-16 16:44:04,"Push",1h 27m,"Cable Crossover",2,10.0,10.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Cable Crossover",3,10.0,13.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Triceps Extension",1,15.0,10.0,0,0.0,"",,
2023-09-16 16:44:04,"Push",1h 27m,"Triceps Extension",2,25.0,10.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Triceps Extension",3,30.0,10.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Triceps Extension (Cable)",1,15.0,10.0,0,0.0,"height 13",,
2023-09-16 16:44:04,"Push",1h 27m,"Triceps Extension (Cable)",2,25.0,10.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Triceps Extension (Cable)",3,30.0,8.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Tricep Extension (Single Arm)",1,5.0,10.0,0,0.0,"change to tricep kickbacks?",,
2023-09-16 16:44:04,"Push",1h 27m,"Tricep Extension (Single Arm)",2,5.0,10.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Tricep Extension (Single Arm)",3,10.0,10.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Lateral Raise (Cable)",1,2.5,10.0,0,0.0,"increase reps",,
2023-09-16 16:44:04,"Push",1h 27m,"Lateral Raise (Cable)",2,2.5,15.0,0,0.0,,,
2023-09-16 16:44:04,"Push",1h 27m,"Lateral Raise (Cable)",3,5.0,6.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Pull Up",1,0,6.0,0,0.0,"","",
2023-09-17 14:38:32,"Pull",1h 28m,"Pull Up",2,0,6.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Pull Up",3,0,5.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Lat Pulldown (Cable)",1,5.0,10.0,0,0.0,"",,
2023-09-17 14:38:32,"Pull",1h 28m,"Lat Pulldown (Cable)",2,6.0,10.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Lat Pulldown (Cable)",3,7.0,10.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Seated Row (Cable)",1,55.0,10.0,0,0.0,"",,
2023-09-17 14:38:32,"Pull",1h 28m,"Seated Row (Cable)",2,75.0,10.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Seated Row (Cable)",3,75.0,13.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Face Pull (Cable)",1,25.0,10.0,0,0.0,"",,
2023-09-17 14:38:32,"Pull",1h 28m,"Face Pull (Cable)",2,45.0,10.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Face Pull (Cable)",3,45.0,12.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Bicep Curl (Barbell)",1,5.0,10.0,0,0.0,"",,
2023-09-17 14:38:32,"Pull",1h 28m,"Bicep Curl (Barbell)",2,6.25,10.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Bicep Curl (Barbell)",3,7.25,10.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Incline Curl (Dumbbell)",1,5.0,10.0,0,0.0,"",,
2023-09-17 14:38:32,"Pull",1h 28m,"Incline Curl (Dumbbell)",2,7.5,10.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Incline Curl (Dumbbell)",3,7.5,7.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Seated Palms Up Wrist Curl (Dumbbell)",1,7.5,10.0,0,0.0,"",,
2023-09-17 14:38:32,"Pull",1h 28m,"Seated Palms Up Wrist Curl (Dumbbell)",2,12.5,10.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Seated Palms Up Wrist Curl (Dumbbell)",3,12.5,15.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Seated Palms Down Wrist Curl",1,3.0,10.0,0,0.0,"",,
2023-09-17 14:38:32,"Pull",1h 28m,"Seated Palms Down Wrist Curl",2,5.0,10.0,0,0.0,,,
2023-09-17 14:38:32,"Pull",1h 28m,"Seated Palms Down Wrist Curl",3,5.0,13.0,0,0.0,,,
2023-09-19 14:44:58,"Legs",1h 20m,"Squat (Smith Machine)",1,15.0,10.0,0,0.0,"fix form lower back strain","",
2023-09-19 14:44:58,"Legs",1h 20m,"Squat (Smith Machine)",2,20.0,10.0,0,0.0,,,
2023-09-19 14:44:58,"Legs",1h 20m,"Squat (Smith Machine)",3,20.0,10.0,0,0.0,,,
2023-09-19 14:44:58,"Legs",1h 20m,"Seated Leg Press (Machine)",1,15.43,10.0,0,0.0,"",,
2023-09-19 14:44:58,"Legs",1h 20m,"Seated Leg Press (Machine)",2,19.84,10.0,0,0.0,,,
2023-09-19 14:44:58,"Legs",1h 20m,"Seated Leg Press (Machine)",3,22.05,20.0,0,0.0,,,
2023-09-19 14:44:58,"Legs",1h 20m,"Leg Extension (Machine)",1,13.23,10.0,0,0.0,"",,
2023-09-19 14:44:58,"Legs",1h 20m,"Leg Extension (Machine)",2,17.64,10.0,0,0.0,,,
2023-09-19 14:44:58,"Legs",1h 20m,"Leg Extension (Machine)",3,22.05,13.0,0,0.0,,,
2023-09-19 14:44:58,"Legs",1h 20m,"Seated Leg Curl (Machine)",1,17.64,10.0,0,0.0,"",,
2023-09-19 14:44:58,"Legs",1h 20m,"Seated Leg Curl (Machine)",2,19.84,10.0,0,0.0,,,
2023-09-19 14:44:58,"Legs",1h 20m,"Seated Leg Curl (Machine)",3,19.84,12.0,0,0.0,,,
2023-09-19 14:44:58,"Legs",1h 20m,"Calf Press on Seated Leg Press",1,13.23,10.0,0,0.0,"",,
2023-09-19 14:44:58,"Legs",1h 20m,"Calf Press on Seated Leg Press",2,17.64,10.0,0,0.0,,,
2023-09-19 14:44:58,"Legs",1h 20m,"Calf Press on Seated Leg Press",3,17.64,12.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Bench Press (Barbell)",1,12.5,10.0,0,0.0,"fix form","",
2023-09-20 15:00:21,"Push",1h 35m,"Bench Press (Barbell)",2,17.5,10.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Bench Press (Barbell)",3,20.0,6.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Shoulder Press (Machine)",1,7.5,10.0,0,0.0,"should i keep back straight?",,
2023-09-20 15:00:21,"Push",1h 35m,"Shoulder Press (Machine)",2,12.5,10.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Shoulder Press (Machine)",3,12.5,11.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Incline Bench Press (Dumbbell)",1,7.5,10.0,0,0.0,"",,
2023-09-20 15:00:21,"Push",1h 35m,"Incline Bench Press (Dumbbell)",2,12.5,10.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Incline Bench Press (Dumbbell)",3,12.5,12.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Cable Crossover",1,5.0,10.0,0,0.0,"make sure the arms are extended at the back and chest is stretched\nheight 15\nslow down and keep tension",,
2023-09-20 15:00:21,"Push",1h 35m,"Cable Crossover",2,10.0,10.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Cable Crossover",3,10.0,13.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Triceps Extension",1,15.0,10.0,0,0.0,"",,
2023-09-20 15:00:21,"Push",1h 35m,"Triceps Extension",2,25.0,10.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Triceps Extension",3,30.0,7.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Triceps Extension (Cable)",1,15.0,10.0,0,0.0,"height 13",,
2023-09-20 15:00:21,"Push",1h 35m,"Triceps Extension (Cable)",2,25.0,10.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Triceps Extension (Cable)",3,30.0,10.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Tricep Extension (Single Arm)",1,5.0,10.0,0,0.0,"change to kickbacks?",,
2023-09-20 15:00:21,"Push",1h 35m,"Tricep Extension (Single Arm)",2,5.0,10.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Tricep Extension (Single Arm)",3,10.0,6.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Lateral Raise (Cable)",1,2.5,12.0,0,0.0,"increase reps",,
2023-09-20 15:00:21,"Push",1h 35m,"Lateral Raise (Cable)",2,2.5,17.0,0,0.0,,,
2023-09-20 15:00:21,"Push",1h 35m,"Lateral Raise (Cable)",3,2.5,20.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Pull Up",1,0,8.0,0,0.0,"","",
2023-09-21 18:40:17,"Pull",2h 2m,"Pull Up",2,0,6.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Pull Up",3,0,3.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Lat Pulldown (Cable)",1,5.0,10.0,0,0.0,"",,
2023-09-21 18:40:17,"Pull",2h 2m,"Lat Pulldown (Cable)",2,6.0,10.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Lat Pulldown (Cable)",3,7.0,5.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Seated Row (Cable)",1,55.0,10.0,0,0.0,"",,
2023-09-21 18:40:17,"Pull",2h 2m,"Seated Row (Cable)",2,75.0,10.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Seated Row (Cable)",3,75.0,13.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Face Pull (Cable)",1,25.0,10.0,0,0.0,"",,
2023-09-21 18:40:17,"Pull",2h 2m,"Face Pull (Cable)",2,45.0,10.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Face Pull (Cable)",3,45.0,12.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Bicep Curl (Barbell)",1,5.0,10.0,0,0.0,"",,
2023-09-21 18:40:17,"Pull",2h 2m,"Bicep Curl (Barbell)",2,6.25,10.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Bicep Curl (Barbell)",3,7.25,10.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Incline Curl (Dumbbell)",1,5.0,10.0,0,0.0,"",,
2023-09-21 18:40:17,"Pull",2h 2m,"Incline Curl (Dumbbell)",2,7.5,10.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Incline Curl (Dumbbell)",3,7.5,9.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Seated Palms Up Wrist Curl (Dumbbell)",1,7.5,10.0,0,0.0,"",,
2023-09-21 18:40:17,"Pull",2h 2m,"Seated Palms Up Wrist Curl (Dumbbell)",2,12.5,10.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Seated Palms Up Wrist Curl (Dumbbell)",3,12.5,15.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Seated Palms Down Wrist Curl",1,3.0,10.0,0,0.0,"",,
2023-09-21 18:40:17,"Pull",2h 2m,"Seated Palms Down Wrist Curl",2,5.0,10.0,0,0.0,,,
2023-09-21 18:40:17,"Pull",2h 2m,"Seated Palms Down Wrist Curl",3,5.0,13.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Bench Press (Barbell)",1,12.5,10.0,0,0.0,"","add pec deck?",
2023-10-02 17:37:10,"Push",1h 43m,"Bench Press (Barbell)",2,17.5,10.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Bench Press (Barbell)",3,20.0,6.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Shoulder Press (Machine)",1,7.5,10.0,0,0.0,"",,
2023-10-02 17:37:10,"Push",1h 43m,"Shoulder Press (Machine)",2,12.5,10.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Shoulder Press (Machine)",3,12.5,8.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Incline Bench Press (Dumbbell)",1,7.5,10.0,0,0.0,"",,
2023-10-02 17:37:10,"Push",1h 43m,"Incline Bench Press (Dumbbell)",2,12.5,8.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Incline Bench Press (Dumbbell)",3,12.5,10.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Cable Crossover",1,5.0,10.0,0,0.0,"",,
2023-10-02 17:37:10,"Push",1h 43m,"Cable Crossover",2,7.5,10.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Cable Crossover",3,10.0,10.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Triceps Extension",1,15.0,10.0,0,0.0,"",,
2023-10-02 17:37:10,"Push",1h 43m,"Triceps Extension",2,25.0,10.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Triceps Extension",3,30.0,7.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Triceps Extension (Cable)",1,15.0,10.0,0,0.0,"height 13",,
2023-10-02 17:37:10,"Push",1h 43m,"Triceps Extension (Cable)",2,25.0,10.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Triceps Extension (Cable)",3,30.0,7.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Tricep Extension (Single Arm)",1,5.0,10.0,0,0.0,"",,
2023-10-02 17:37:10,"Push",1h 43m,"Tricep Extension (Single Arm)",2,5.0,10.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Tricep Extension (Single Arm)",3,10.0,7.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Lateral Raise (Cable)",1,2.5,10.0,0,0.0,"",,
2023-10-02 17:37:10,"Push",1h 43m,"Lateral Raise (Cable)",2,2.5,12.0,0,0.0,,,
2023-10-02 17:37:10,"Push",1h 43m,"Lateral Raise (Cable)",3,2.5,15.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Pull Up",1,0,7.0,0,0.0,"","",
2023-10-03 17:30:32,"Pull",1h 31m,"Pull Up",2,0,8.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Pull Up",3,0,4.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Lat Pulldown (Cable)",1,5.0,10.0,0,0.0,"",,
2023-10-03 17:30:32,"Pull",1h 31m,"Lat Pulldown (Cable)",2,6.0,10.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Lat Pulldown (Cable)",3,7.0,8.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Seated Row (Cable)",1,55.0,10.0,0,0.0,"",,
2023-10-03 17:30:32,"Pull",1h 31m,"Seated Row (Cable)",2,75.0,10.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Seated Row (Cable)",3,75.0,10.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Face Pull (Cable)",1,25.0,10.0,0,0.0,"",,
2023-10-03 17:30:32,"Pull",1h 31m,"Face Pull (Cable)",2,45.0,10.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Face Pull (Cable)",3,45.0,8.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Bicep Curl (Barbell)",1,5.0,10.0,0,0.0,"",,
2023-10-03 17:30:32,"Pull",1h 31m,"Bicep Curl (Barbell)",2,6.25,8.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Bicep Curl (Barbell)",3,6.25,8.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Incline Curl (Dumbbell)",1,5.0,10.0,0,0.0,"",,
2023-10-03 17:30:32,"Pull",1h 31m,"Incline Curl (Dumbbell)",2,7.5,8.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Incline Curl (Dumbbell)",3,7.5,6.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Seated Palms Up Wrist Curl (Dumbbell)",1,7.5,10.0,0,0.0,"",,
2023-10-03 17:30:32,"Pull",1h 31m,"Seated Palms Up Wrist Curl (Dumbbell)",2,12.5,10.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Seated Palms Up Wrist Curl (Dumbbell)",3,12.5,10.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Seated Palms Down Wrist Curl",1,3.0,10.0,0,0.0,"",,
2023-10-03 17:30:32,"Pull",1h 31m,"Seated Palms Down Wrist Curl",2,5.0,10.0,0,0.0,,,
2023-10-03 17:30:32,"Pull",1h 31m,"Seated Palms Down Wrist Curl",3,5.0,10.0,0,0.0,,,
